Nuovo Codice Prestazione Catalogo,Nuova Descrizione Prestazione,Accesso,Numero Prestazioni Erogate,Descrizione Completa Prestazione,Frequenza Erogazione
1034,Visita Otorinolaringoiatrica,01Prescrizione Su Ricettario Ssn,8097,1034  Visita Otorinolaringoiatrica  01Prescrizione Su Ricettario Ssn,Alta
1035,Visita Ortopedica,01Prescrizione Su Ricettario Ssn,3551,1035  Visita Ortopedica  01Prescrizione Su Ricettario Ssn,Alta
1036,Visita Ortodontica,01Prescrizione Su Ricettario Ssn,1,1036  Visita Ortodontica  01Prescrizione Su Ricettario Ssn,Bassa
1037,Visita Oncologica,01Prescrizione Su Ricettario Ssn,5124,1037  Visita Oncologica  01Prescrizione Su Ricettario Ssn,Alta
1038,Visita Odontostomatologica,01Prescrizione Su Ricettario Ssn,1325,1038  Visita Odontostomatologica  01Prescrizione Su Ricettario Ssn,Alta
1039,Visita Oculisticaesame Complessivo Dellocchio,01Prescrizione Su Ricettario Ssn,9940,1039  Visita Oculisticaesame Complessivo Dellocchio  01Prescrizione Su Ricettario Ssn,Alta
1040,Visita Neuropsichiatrica Infantile,01Prescrizione Su Ricettario Ssn,4,1040  Visita Neuropsichiatrica Infantile  01Prescrizione Su Ricettario Ssn,Bassa
1042,Visita Neurologica,01Prescrizione Su Ricettario Ssn,6190,1042  Visita Neurologica  01Prescrizione Su Ricettario Ssn,Alta
1043,Visita Neurochirurgica,01Prescrizione Su Ricettario Ssn,2936,1043  Visita Neurochirurgica  01Prescrizione Su Ricettario Ssn,Alta
1045,Visita Neonatologica,01Prescrizione Su Ricettario Ssn,194,1045  Visita Neonatologica  01Prescrizione Su Ricettario Ssn,Alta
1046,Visita Nefrologica,01Prescrizione Su Ricettario Ssn,747,1046  Visita Nefrologica  01Prescrizione Su Ricettario Ssn,Alta
1047,Prima Visita Escluso Le Prime Visite Specificamente Codificate,01Prescrizione Su Ricettario Ssn,3,1047  Prima Visita Escluso Le Prime Visite Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Bassa
1047,Visita Generale,01Prescrizione Su Ricettario Ssn,48,1047  Visita Generale  01Prescrizione Su Ricettario Ssn,Media
1050,Visita Medicina Interna,01Prescrizione Su Ricettario Ssn,1019,1050  Visita Medicina Interna  01Prescrizione Su Ricettario Ssn,Alta
1052,Visita Infettivologica,01Prescrizione Su Ricettario Ssn,1987,1052  Visita Infettivologica  01Prescrizione Su Ricettario Ssn,Alta
1054,Visita Immunologica,01Prescrizione Su Ricettario Ssn,492,1054  Visita Immunologica  01Prescrizione Su Ricettario Ssn,Alta
1056,Visita Ginecologica,01Prescrizione Su Ricettario Ssn,6223,1056  Visita Ginecologica  01Prescrizione Su Ricettario Ssn,Alta
1058,Visita Geriatrica,01Prescrizione Su Ricettario Ssn,639,1058  Visita Geriatrica  01Prescrizione Su Ricettario Ssn,Alta
1059,Visita Genetica Medica,01Prescrizione Su Ricettario Ssn,1209,1059  Visita Genetica Medica  01Prescrizione Su Ricettario Ssn,Alta
1060,Visita Gastroenterologica,01Prescrizione Su Ricettario Ssn,3002,1060  Visita Gastroenterologica  01Prescrizione Su Ricettario Ssn,Alta
1061,Visita Foniatrica,01Prescrizione Su Ricettario Ssn,947,1061  Visita Foniatrica  01Prescrizione Su Ricettario Ssn,Alta
1062,Visita Fisiatrica,01Prescrizione Su Ricettario Ssn,411,1062  Visita Fisiatrica  01Prescrizione Su Ricettario Ssn,Alta
1063,Visita Epatologica,01Prescrizione Su Ricettario Ssn,1374,1063  Visita Epatologica  01Prescrizione Su Ricettario Ssn,Alta
1064,Prima Visita Escluso Le Prime Visite Specificamente Codificate,01Prescrizione Su Ricettario Ssn,964,1064  Prima Visita Escluso Le Prime Visite Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Alta
1064,Visita Endocrinologica,01Prescrizione Su Ricettario Ssn,8268,1064  Visita Endocrinologica  01Prescrizione Su Ricettario Ssn,Alta
1065,Visita Ematologica,01Prescrizione Su Ricettario Ssn,2539,1065  Visita Ematologica  01Prescrizione Su Ricettario Ssn,Alta
1066,Visita Diabetologica,01Prescrizione Su Ricettario Ssn,2041,1066  Visita Diabetologica  01Prescrizione Su Ricettario Ssn,Alta
1070,Visita Di Nutrizione Clinica,01Prescrizione Su Ricettario Ssn,859,1070  Visita Di Nutrizione Clinica  01Prescrizione Su Ricettario Ssn,Alta
1071,Visita Di Medicina Trasfusionale,01Prescrizione Su Ricettario Ssn,234,1071  Visita Di Medicina Trasfusionale  01Prescrizione Su Ricettario Ssn,Alta
1072,Visita Di Medicina Nucleare,01Prescrizione Su Ricettario Ssn,172,1072  Visita Di Medicina Nucleare  01Prescrizione Su Ricettario Ssn,Alta
1073,Visita Di Medicina Del Lavoro,01Prescrizione Su Ricettario Ssn,242,1073  Visita Di Medicina Del Lavoro  01Prescrizione Su Ricettario Ssn,Alta
1074,Visita Di Chirurgia Plastica,01Prescrizione Su Ricettario Ssn,3415,1074  Visita Di Chirurgia Plastica  01Prescrizione Su Ricettario Ssn,Alta
1075,Visita Maxillo Facciale,01Prescrizione Su Ricettario Ssn,702,1075  Visita Maxillo Facciale  01Prescrizione Su Ricettario Ssn,Alta
1080,Visita Dermatologica,01Prescrizione Su Ricettario Ssn,5574,1080  Visita Dermatologica  01Prescrizione Su Ricettario Ssn,Alta
1081,Visita Colonproctologica,01Prescrizione Su Ricettario Ssn,932,1081  Visita Colonproctologica  01Prescrizione Su Ricettario Ssn,Alta
1082,Prima Visita Escluso Le Prime Visite Specificamente Codificate,01Prescrizione Su Ricettario Ssn,1,1082  Prima Visita Escluso Le Prime Visite Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Bassa
1082,Visita Chirurgica Vascolare,01Prescrizione Su Ricettario Ssn,2385,1082  Visita Chirurgica Vascolare  01Prescrizione Su Ricettario Ssn,Alta
1083,Prima Visita Escluso Le Prime Visite Specificamente Codificate,01Prescrizione Su Ricettario Ssn,1,1083  Prima Visita Escluso Le Prime Visite Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Bassa
1083,Visita Chirurgica Toracica,01Prescrizione Su Ricettario Ssn,1020,1083  Visita Chirurgica Toracica  01Prescrizione Su Ricettario Ssn,Alta
1085,Visita Chirurgica,01Prescrizione Su Ricettario Ssn,4981,1085  Visita Chirurgica  01Prescrizione Su Ricettario Ssn,Alta
1086,Visita Chirurgia Della Mano,01Prescrizione Su Ricettario Ssn,1211,1086  Visita Chirurgia Della Mano  01Prescrizione Su Ricettario Ssn,Alta
1088,Visita Coagulopatie,01Prescrizione Su Ricettario Ssn,580,1088  Visita Coagulopatie  01Prescrizione Su Ricettario Ssn,Alta
1089,Prima Visita Escluso Le Prime Visite Specificamente Codificate,01Prescrizione Su Ricettario Ssn,473,1089  Prima Visita Escluso Le Prime Visite Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Alta
1089,Visita Cardiologica,01Prescrizione Su Ricettario Ssn,6990,1089  Visita Cardiologica  01Prescrizione Su Ricettario Ssn,Alta
1090,Visita Cardiochirurgica,01Prescrizione Su Ricettario Ssn,139,1090  Visita Cardiochirurgica  01Prescrizione Su Ricettario Ssn,Alta
1091,Visita Audiologica,01Prescrizione Su Ricettario Ssn,3415,1091  Visita Audiologica  01Prescrizione Su Ricettario Ssn,Alta
1092,Visita Angiologica  Flebologica,01Prescrizione Su Ricettario Ssn,285,1092  Visita Angiologica  Flebologica  01Prescrizione Su Ricettario Ssn,Alta
1094,Visita Anestesiologica,01Prescrizione Su Ricettario Ssn,337,1094  Visita Anestesiologica  01Prescrizione Su Ricettario Ssn,Alta
1095,Visita Andrologica,01Prescrizione Su Ricettario Ssn,815,1095  Visita Andrologica  01Prescrizione Su Ricettario Ssn,Alta
10X11,Consulto Definito Complessivo,01Prescrizione Su Ricettario Ssn,7,10X11  Consulto Definito Complessivo  01Prescrizione Su Ricettario Ssn,Bassa
10X11,Visita Radiologica,01Prescrizione Su Ricettario Ssn,2,10X11  Visita Radiologica  01Prescrizione Su Ricettario Ssn,Bassa
10X13,,01Prescrizione Su Ricettario Ssn,17,10X13    01Prescrizione Su Ricettario Ssn,Media
10X13,Consulenza Radiologica,01Prescrizione Su Ricettario Ssn,4,10X13  Consulenza Radiologica  01Prescrizione Su Ricettario Ssn,Bassa
10X14,Visita Di Radiologia Interventistica,01Prescrizione Su Ricettario Ssn,139,10X14  Visita Di Radiologia Interventistica  01Prescrizione Su Ricettario Ssn,Alta
1102,Visita Allergologica,01Prescrizione Su Ricettario Ssn,3470,1102  Visita Allergologica  01Prescrizione Su Ricettario Ssn,Alta
1103,Visita Algologica,01Prescrizione Su Ricettario Ssn,2456,1103  Visita Algologica  01Prescrizione Su Ricettario Ssn,Alta
1105,Visita A Medullolesi,01Prescrizione Su Ricettario Ssn,64,1105  Visita A Medullolesi  01Prescrizione Su Ricettario Ssn,Media
1106,Visita Pediatrica,01Prescrizione Su Ricettario Ssn,71,1106  Visita Pediatrica  01Prescrizione Su Ricettario Ssn,Media
1108,Visita Ostetrica,01Prescrizione Su Ricettario Ssn,1251,1108  Visita Ostetrica  01Prescrizione Su Ricettario Ssn,Alta
1110,Visita Di Medicina Complementare Omeopatia,01Prescrizione Su Ricettario Ssn,6,1110  Visita Di Medicina Complementare Omeopatia  01Prescrizione Su Ricettario Ssn,Bassa
1112,Visita Di Medicina Complementare Fitoterapia,01Prescrizione Su Ricettario Ssn,12,1112  Visita Di Medicina Complementare Fitoterapia  01Prescrizione Su Ricettario Ssn,Media
1113,Visita Di Medicina Complementare Agopuntura,01Prescrizione Su Ricettario Ssn,125,1113  Visita Di Medicina Complementare Agopuntura  01Prescrizione Su Ricettario Ssn,Alta
1114,Visita Di Controllo Urologica,01Prescrizione Su Ricettario Ssn,1983,1114  Visita Di Controllo Urologica  01Prescrizione Su Ricettario Ssn,Alta
1115,Visita Di Controllo Uroginecologica,01Prescrizione Su Ricettario Ssn,602,1115  Visita Di Controllo Uroginecologica  01Prescrizione Su Ricettario Ssn,Alta
1116,Visita Di Controllo Traumatologico,01Prescrizione Su Ricettario Ssn,528,1116  Visita Di Controllo Traumatologico  01Prescrizione Su Ricettario Ssn,Alta
1117,Visita Di Controllo Trapiantologica,01Prescrizione Su Ricettario Ssn,2884,1117  Visita Di Controllo Trapiantologica  01Prescrizione Su Ricettario Ssn,Alta
1123,Visita Di Controllo Senologica,01Prescrizione Su Ricettario Ssn,94,1123  Visita Di Controllo Senologica  01Prescrizione Su Ricettario Ssn,Media
1125,Visita Di Controllo Reumatologica,01Prescrizione Su Ricettario Ssn,10159,1125  Visita Di Controllo Reumatologica  01Prescrizione Su Ricettario Ssn,Alta
1126,Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate,01Prescrizione Su Ricettario Ssn,136,1126  Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Alta
1126,Visita Di Controllo Di Medicina Fisica E Riabilitazione,01Prescrizione Su Ricettario Ssn,1382,1126  Visita Di Controllo Di Medicina Fisica E Riabilitazione  01Prescrizione Su Ricettario Ssn,Alta
1127,Visita Di Controllo Radioterapica,01Prescrizione Su Ricettario Ssn,4634,1127  Visita Di Controllo Radioterapica  01Prescrizione Su Ricettario Ssn,Alta
1129,Visita Di Controllo Psichiatrica,01Prescrizione Su Ricettario Ssn,8174,1129  Visita Di Controllo Psichiatrica  01Prescrizione Su Ricettario Ssn,Alta
1130,Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate,01Prescrizione Su Ricettario Ssn,4,1130  Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Bassa
1130,Visita Di Controllo Podologica,01Prescrizione Su Ricettario Ssn,85,1130  Visita Di Controllo Podologica  01Prescrizione Su Ricettario Ssn,Media
1131,Visita Di Controllo Pneumologica,01Prescrizione Su Ricettario Ssn,9097,1131  Visita Di Controllo Pneumologica  01Prescrizione Su Ricettario Ssn,Alta
1132,Visita Di Controllo Per Piede Diabetico,01Prescrizione Su Ricettario Ssn,4616,1132  Visita Di Controllo Per Piede Diabetico  01Prescrizione Su Ricettario Ssn,Alta
1137,Visita Di Controllo Per Cefalee,01Prescrizione Su Ricettario Ssn,2685,1137  Visita Di Controllo Per Cefalee  01Prescrizione Su Ricettario Ssn,Alta
1138,Visita Di Controllo Pediatrica,01Prescrizione Su Ricettario Ssn,27,1138  Visita Di Controllo Pediatrica  01Prescrizione Su Ricettario Ssn,Media
1139,Visita Di Controllo Otorinolaringoiatrica,01Prescrizione Su Ricettario Ssn,4505,1139  Visita Di Controllo Otorinolaringoiatrica  01Prescrizione Su Ricettario Ssn,Alta
1140,Visita Di Controllo Ostetrica,01Prescrizione Su Ricettario Ssn,216,1140  Visita Di Controllo Ostetrica  01Prescrizione Su Ricettario Ssn,Alta
1141,Visita Di Controllo Osteoporosi,01Prescrizione Su Ricettario Ssn,2483,1141  Visita Di Controllo Osteoporosi  01Prescrizione Su Ricettario Ssn,Alta
1142,Visita Di Controllo Ortopedica,01Prescrizione Su Ricettario Ssn,12024,1142  Visita Di Controllo Ortopedica  01Prescrizione Su Ricettario Ssn,Alta
1143,Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate,01Prescrizione Su Ricettario Ssn,17,1143  Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Media
1143,Visita Di Controllo Ortodontica,01Prescrizione Su Ricettario Ssn,208,1143  Visita Di Controllo Ortodontica  01Prescrizione Su Ricettario Ssn,Alta
1144,Visita Di Controllo Oncologica,01Prescrizione Su Ricettario Ssn,31072,1144  Visita Di Controllo Oncologica  01Prescrizione Su Ricettario Ssn,Alta
1145,Visita Di Controllo Odontostomatologica,01Prescrizione Su Ricettario Ssn,424,1145  Visita Di Controllo Odontostomatologica  01Prescrizione Su Ricettario Ssn,Alta
1148,Visita Di Controllo Oculistica,01Prescrizione Su Ricettario Ssn,10019,1148  Visita Di Controllo Oculistica  01Prescrizione Su Ricettario Ssn,Alta
1149,Visita Di Controllo Nutrizionale,01Prescrizione Su Ricettario Ssn,1791,1149  Visita Di Controllo Nutrizionale  01Prescrizione Su Ricettario Ssn,Alta
1151,Visita Di Controllo Neuropsichiatrica Infantile,01Prescrizione Su Ricettario Ssn,2,1151  Visita Di Controllo Neuropsichiatrica Infantile  01Prescrizione Su Ricettario Ssn,Bassa
1153,Visita Di Controllo Neurologica,01Prescrizione Su Ricettario Ssn,10587,1153  Visita Di Controllo Neurologica  01Prescrizione Su Ricettario Ssn,Alta
1154,Visita Di Controllo Neurochirurgica,01Prescrizione Su Ricettario Ssn,1141,1154  Visita Di Controllo Neurochirurgica  01Prescrizione Su Ricettario Ssn,Alta
1155,Visita Di Controllo Neonatologica,01Prescrizione Su Ricettario Ssn,529,1155  Visita Di Controllo Neonatologica  01Prescrizione Su Ricettario Ssn,Alta
1156,Visita Di Controllo Nefrologica,01Prescrizione Su Ricettario Ssn,4103,1156  Visita Di Controllo Nefrologica  01Prescrizione Su Ricettario Ssn,Alta
1158,Visita Di Controllo Medicina Interna,01Prescrizione Su Ricettario Ssn,4218,1158  Visita Di Controllo Medicina Interna  01Prescrizione Su Ricettario Ssn,Alta
1160,Visita Di Controllo Infettivologica,01Prescrizione Su Ricettario Ssn,3410,1160  Visita Di Controllo Infettivologica  01Prescrizione Su Ricettario Ssn,Alta
1162,Visita Di Controllo Immunologica,01Prescrizione Su Ricettario Ssn,2657,1162  Visita Di Controllo Immunologica  01Prescrizione Su Ricettario Ssn,Alta
1164,Visita Di Controllo Ginecologica,01Prescrizione Su Ricettario Ssn,2634,1164  Visita Di Controllo Ginecologica  01Prescrizione Su Ricettario Ssn,Alta
1166,Visita Di Controllo Geriatrica,01Prescrizione Su Ricettario Ssn,1195,1166  Visita Di Controllo Geriatrica  01Prescrizione Su Ricettario Ssn,Alta
1167,Visita Di Controllo Genetica Medica,01Prescrizione Su Ricettario Ssn,622,1167  Visita Di Controllo Genetica Medica  01Prescrizione Su Ricettario Ssn,Alta
1168,Visita Di Controllo Gastroenterologica,01Prescrizione Su Ricettario Ssn,3332,1168  Visita Di Controllo Gastroenterologica  01Prescrizione Su Ricettario Ssn,Alta
1169,Visita Di Controllo Foniatrica,01Prescrizione Su Ricettario Ssn,17,1169  Visita Di Controllo Foniatrica  01Prescrizione Su Ricettario Ssn,Media
1170,Visita Di Controllo Fisiatrica,01Prescrizione Su Ricettario Ssn,346,1170  Visita Di Controllo Fisiatrica  01Prescrizione Su Ricettario Ssn,Alta
1171,Visita Di Controllo Epatologica,01Prescrizione Su Ricettario Ssn,4680,1171  Visita Di Controllo Epatologica  01Prescrizione Su Ricettario Ssn,Alta
1172,Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate,01Prescrizione Su Ricettario Ssn,2445,1172  Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Alta
1172,Visita Di Controllo Endocrinologica,01Prescrizione Su Ricettario Ssn,24190,1172  Visita Di Controllo Endocrinologica  01Prescrizione Su Ricettario Ssn,Alta
1173,Visita Di Controllo Ematologica,01Prescrizione Su Ricettario Ssn,7320,1173  Visita Di Controllo Ematologica  01Prescrizione Su Ricettario Ssn,Alta
1174,Visita Di Controllo Diabetologica,01Prescrizione Su Ricettario Ssn,10000,1174  Visita Di Controllo Diabetologica  01Prescrizione Su Ricettario Ssn,Alta
1175,Visita Di Controllo Di Ortognatodonzia,01Prescrizione Su Ricettario Ssn,18,1175  Visita Di Controllo Di Ortognatodonzia  01Prescrizione Su Ricettario Ssn,Media
1177,Visita Di Controllo Di Medicina Trasfusionale,01Prescrizione Su Ricettario Ssn,2561,1177  Visita Di Controllo Di Medicina Trasfusionale  01Prescrizione Su Ricettario Ssn,Alta
1178,Visita Di Controllo Di Medicina Nucleare,01Prescrizione Su Ricettario Ssn,3129,1178  Visita Di Controllo Di Medicina Nucleare  01Prescrizione Su Ricettario Ssn,Alta
1179,Visita Di Controllo Di Medicina Del Lavoro,01Prescrizione Su Ricettario Ssn,286,1179  Visita Di Controllo Di Medicina Del Lavoro  01Prescrizione Su Ricettario Ssn,Alta
1180,Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate,01Prescrizione Su Ricettario Ssn,1,1180  Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Bassa
1180,Visita Di Controllo Dermatologica,01Prescrizione Su Ricettario Ssn,9974,1180  Visita Di Controllo Dermatologica  01Prescrizione Su Ricettario Ssn,Alta
1181,Visita Di Controllo Colonproctologica,01Prescrizione Su Ricettario Ssn,1233,1181  Visita Di Controllo Colonproctologica  01Prescrizione Su Ricettario Ssn,Alta
1182,Visita Di Controllo Chirurgica Toracica,01Prescrizione Su Ricettario Ssn,1964,1182  Visita Di Controllo Chirurgica Toracica  01Prescrizione Su Ricettario Ssn,Alta
1183,Visita Di Controllo Chirurgica,01Prescrizione Su Ricettario Ssn,3481,1183  Visita Di Controllo Chirurgica  01Prescrizione Su Ricettario Ssn,Alta
1184,Visita Di Controllo Chirurgia Vascolare,01Prescrizione Su Ricettario Ssn,1839,1184  Visita Di Controllo Chirurgia Vascolare  01Prescrizione Su Ricettario Ssn,Alta
1185,Visita Di Controllo Chirurgia Plastica,01Prescrizione Su Ricettario Ssn,2842,1185  Visita Di Controllo Chirurgia Plastica  01Prescrizione Su Ricettario Ssn,Alta
1186,Visita Di Controllo Maxillo Facciale,01Prescrizione Su Ricettario Ssn,561,1186  Visita Di Controllo Maxillo Facciale  01Prescrizione Su Ricettario Ssn,Alta
1187,Visita Di Controllo Chirurgia Della Mano,01Prescrizione Su Ricettario Ssn,427,1187  Visita Di Controllo Chirurgia Della Mano  01Prescrizione Su Ricettario Ssn,Alta
1191,Visita Di Controllo Coagulopatie,01Prescrizione Su Ricettario Ssn,7207,1191  Visita Di Controllo Coagulopatie  01Prescrizione Su Ricettario Ssn,Alta
1192,Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate,01Prescrizione Su Ricettario Ssn,725,1192  Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Alta
1192,Visita Di Controllo Cardiologica,01Prescrizione Su Ricettario Ssn,5481,1192  Visita Di Controllo Cardiologica  01Prescrizione Su Ricettario Ssn,Alta
1193,Visita Di Controllo Cardiochirurgica,01Prescrizione Su Ricettario Ssn,536,1193  Visita Di Controllo Cardiochirurgica  01Prescrizione Su Ricettario Ssn,Alta
1194,Visita Di Controllo Audiologica,01Prescrizione Su Ricettario Ssn,8,1194  Visita Di Controllo Audiologica  01Prescrizione Su Ricettario Ssn,Bassa
1195,Visita Di Controllo Angiologica  Flebologica,01Prescrizione Su Ricettario Ssn,2509,1195  Visita Di Controllo Angiologica  Flebologica  01Prescrizione Su Ricettario Ssn,Alta
1197,Visita Di Controllo Andrologica,01Prescrizione Su Ricettario Ssn,3307,1197  Visita Di Controllo Andrologica  01Prescrizione Su Ricettario Ssn,Alta
1199,Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate,01Prescrizione Su Ricettario Ssn,2,1199  Visita Di Controllo Di Routine O Di Follow Up Escluso Le Visite Di Controllo Specificamente Codificate  01Prescrizione Su Ricettario Ssn,Bassa
1199,Visita Di Controllo Allergologica,01Prescrizione Su Ricettario Ssn,4434,1199  Visita Di Controllo Allergologica  01Prescrizione Su Ricettario Ssn,Alta
1200,Visita Di Controllo Algologica,01Prescrizione Su Ricettario Ssn,3367,1200  Visita Di Controllo Algologica  01Prescrizione Su Ricettario Ssn,Alta
1202,Visita Di Controllo A Medullolesi,01Prescrizione Su Ricettario Ssn,1241,1202  Visita Di Controllo A Medullolesi  01Prescrizione Su Ricettario Ssn,Alta
1202,Visita Di Controllo Per Lesioni Midollari,01Prescrizione Su Ricettario Ssn,4,1202  Visita Di Controllo Per Lesioni Midollari  01Prescrizione Su Ricettario Ssn,Bassa
1204,Ablazione Tartaro Manuale O Con Ultrasuoni  Arcate Complete,01Prescrizione Su Ricettario Ssn,1082,1204  Ablazione Tartaro Manuale O Con Ultrasuoni  Arcate Complete  01Prescrizione Su Ricettario Ssn,Alta
